"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"gCap_share",0.2,0.21422802801025,0.23913876643875,0.27557214701875,0.33236867137825,0.38724124085375,0.4350302275975,0.477207729257,0.520185613713,0.561998121953,0.59498264798725,0.6280350892425,0.65476457380275,0.69818999103275,0.764342109299,0.81539258824325,0.853999341065,0.886477849946,0.9151750258935,0.94089424046025,0.9692743120885,0.9944599819895,0.99820828114075,0.9991442888135,0.99961475856325,0.99984066999225,0.9998633037905,0.99996619540675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"change_in_unem",NA,0.01536795259325,0.00889140292700001,0.00127878896175,-0.00632890170525001,-0.00302289614450001,0.00136209462550001,-0.0016622470135,-0.00168655584725,-0.008758968884,0.00416330002900001,0.00236994051974999,-0.000729704225249997,0.0017416861125,-0.00298478128775,0.003748836437,0.000109304081249997,-0.00103104692600001,0.000906486110750004,-0.00319428680325,-0.00553107202774999,-8.46142472500089e-05,-0.013856352702,-0.0119020208165,0.00337888397325,-0.000249787529000005,0.00627034941525,-0.00225506285975,0.0025615031885,0.0053184408055,-0.00211696040075,0.00322360223375,0.000657222491000004,0.000396177838749998,0.000454627121500004,-0.000230043306000002,9.98791232500046e-05,-0.00308929637525001,0.002173371454,0.00341597612474999,-0.00359374932874999,0.000137859429750004,0.00271493193575,-0.00104262891625,-0.000280061834999998,-0.00373586252175,0.00285548590875,0.002182031655,-0.00278032084175001,0.00119897580125,0.000885709205000001,-0.000928495383250003,0.00251002519275001,-0.00419290921800001,0.003578815529,-0.00223174566275,-0.00236064422975,0.002971835453,-0.001268432197,0.003474780969,-0.0063713178255,0.0035549369585,0.000681824239500001,-0.001870652221,-0.000528560913999998,0.00160478332275001,0.000534607217250002,-0.000309918308000007,0.000878874893499998,-0.00237623290775,0.00115994693149999,0.00253620169350001,-0.001398163205,-0.0037065606705,0.00219549378,-0.001160974011,0.00103191222975001,0.00113167317174999,-2.84333949999993e-06,0.000813751352250008
"anomaly_real",1.097726868683,1.119992615458,1.142243249959,1.164486237691,1.186716845202,1.208919466534,1.231098511522,1.253253357075,1.275398851612,1.297535607871,1.319672143057,1.341800660037,1.363932832201,1.386072024159,1.40818424555,1.430253348781,1.452298406313,1.474341794191,1.496389871358,1.518445993919,1.540523284349,1.562617162145,1.584740926838,1.606928916405,1.62917763514,1.65147599189,1.673825992264,1.696225037144,1.718678017563,1.741180903962,1.763736991139,1.78634608873,1.809010066064,1.831727361291,1.854498768156,1.877324985491,1.900204668866,1.923139925215,1.946132818071,1.969179815494,1.992281257909,2.015442694118,2.038660029725,2.061932698906,2.085260846087,2.108645734118,2.132088523891,2.155584736565,2.179136068935,2.202746396307,2.226413471354,2.250136293891,2.273916795488,2.297753696468,2.321649901425,2.345601048825,2.369610946456,2.393678488622,2.417801360792,2.441981770498,2.466219562442,2.490519350868,2.51487473473,2.539291320437,2.563767898852,2.5883067797,2.612903419966,2.637559563041,2.662276141266,2.687052573414,2.71189060314,2.736786678547,2.761741631592,2.786758342324,2.811837940327,2.836976865756,2.862177060478,2.887436814465,2.912758720664,2.938139925697
"anomaly_shiftingBL",0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933826586863702,0.0933160302304901,0.0932670541357898,0.09322600594006,0.0932012439915502,0.0931946478680699,0.09316772620935,0.0930999896145697,0.0930148795839698,0.0929431322947398,0.0928941634951899,0.0928689191648997,0.0928763380790401,0.0929079554607899,0.0929705625186099,0.0930922564294601,0.0932608403449202,0.0934513229709699,0.0936558996254599,0.0938666433726298,0.09408415108761,0.09430226547651,0.0945213841690999,0.0947409008199001,0.0949632525962201,0.0951870336199399,0.0954122253562399,0.0956392420925798,0.0958662848431899,0.0960951110519102,0.09632765124528,0.0965599428344697,0.0967915020565202,0.0970280527968803,0.0972655203461499,0.0975021534120899,0.0977380290238399,0.0979744444736701,0.09821271643131,0.0984482870305099,0.0986823187199302,0.0989193476646202,0.0991575385933499,0.0993951415574297,0.09963391851328,0.09987268535976,0.10011408876424,0.10035384959691,0.10059497180428,0.10083679881108,0.10107671035924,0.10131676848513,0.10155721443427,0.1018025676384,0.10204636893711,0.10229318389446,0.10254219575518,0.10279497412067,0.10304653225606,0.10329764115797,0.10354953492286,0.10380159910724,0.10405547569155,0.10430741800647,0.10455793504566,0.10481042185912,0.10506632512877,0.10532149133855,0.10557718694215,0.10583195733015,0.10608818908916,0.10634330223841
"real_wage_growth",NA,-0.00601142913035724,9.93086339731164e-05,0.00841878400909746,0.0115987072988322,0.00986843686126426,0.0101113737659173,0.0113536229518187,0.0107484291882001,0.0117189255113312,0.0095393968608628,0.0113301832051331,0.0108763217242882,0.0104799177846397,0.0109618787517698,0.0105370990633336,0.011357286667026,0.0109725815668176,0.0115092301020465,0.0120710512253512,0.0128050943727185,0.0132842438642691,0.0200550317735779,0.0159046723335812,0.0117693256703113,0.0130630014936568,0.0106028593713168,0.0116440345539848,0.0106028610942903,0.0110056225991919,0.0104520793794727,0.0109219834677812,0.0099390502419896,0.0105525975465988,0.0100750234843148,0.0106887517479388,0.0105442684628305,0.0106538586863074,0.00977294870595391,0.0103931750904342,0.0108753073633829,0.00963726448460145,0.0101949461749204,0.0107447811405414,0.0105370936349054,0.010331553687337,0.00985931232501125,0.0101455310654004,0.0112329141010072,0.00957592348074243,0.0102845022075475,0.0102017279236331,0.00941042524000024,0.0105714214181352,0.00920714620674512,0.0108122488691442,0.0106026810567668,0.0100473604114877,0.0109005710430603,0.0100430965204987,0.0113282264425403,0.00965755399353441,0.0107974585348913,0.0108880583439674,0.01020105561392,0.00985370217108295,0.0109395938169659,0.0105413656231388,0.0100050397711224,0.0106691743831322,0.0095774623518079,0.0104145873692369,0.0105829227403074,0.0110479887411932,0.00964804449914247,0.010985403377298,0.0098243042919961,0.0106018132576753,0.0101227977834248,0.0102794262734849
"rCtax",1.9307976e-05,0.00032188980875,0.0003932374785,0.0003951212985,0.00039468439225,0.0003947437455,0.000395355706,0.000395185254,0.00039513642625,0.00039443536775,0.00039543042175,0.000395395501,0.00039524377125,0.0003955423715,0.0003949007405,0.0003956830145,0.00039521681725,0.000395128059,0.00039576390525,0.00039525101775,0.00039522101425,0.00039662038375,0.0003974220795,0.00039610825825,0.00039616909725,0.000395931913,0.00039617532325,0.0003948152165,0.00039544693,0.00039595935775,0.0003945044265,0.00039582372075,0.000395168308,0.0003953235665,0.00039510210175,0.00039531907425,0.0003950476315,0.00039463789175,0.0003951783305,0.0003956047005,0.000394823758,0.0003950648045,0.00039544138075,0.00039487392275,0.0003951565155,0.000394641767,0.00039548228525,0.00039523702425,0.00039508897175,0.00039515369825,0.000395096607,0.00039462246425,0.00039521725675,0.00039468548625,0.0003957108605,0.0003948855735,0.00039491066375,0.00039542899925,0.0003948785095,0.0003955182965,0.00039441664525,0.0003955091575,0.000395190319,0.00039521939775,0.00039491259525,0.0003951384465,0.000395143452,0.00039524721375,0.000395221248,0.00039492094475,0.000394801451,0.000395367644,0.00039505485525,0.00039491857025,0.00039508830125,0.0003949578545,0.00039500635875,0.0003953097135,0.00039524408675,0.00039504517275
"totEmiss",31843621.8615896,30997267.6553793,30057848.5817092,29129540.8960066,27956042.502157,26701055.4428701,25508713.0736026,24518871.7436893,23513966.5272707,22700171.3691648,21825322.0663102,20982132.538212,20337414.8491423,19221539.4750407,17724913.1805978,16412673.4288866,15495417.8255643,14714880.568792,13938041.8529273,13365725.0349507,12873700.325374,12352889.3530784,12441181.20687,12589607.6142099,12558060.7993153,12523963.3548625,12436265.6263682,12450240.6630292,12410967.3032877,12344693.3760469,12382112.8671418,12367299.2994202,12358892.2116003,12353205.7129885,12352349.7594905,12326372.4671218,12325344.4049652,12362630.7286396,12360684.7000383,12329795.3951433,12380039.6842941,12403142.6081507,12371021.0980155,12381426.4973807,12370067.8949026,12414679.6831453,12377315.0503864,12342282.8307693,12367309.8245827,12365697.9007225,12345364.296666,12362516.0041935,12328918.1245132,12365496.9031356,12319870.7590826,12327907.5612587,12343669.6682594,12296679.4802111,12294245.8318836,12245910.4949441,12317911.3815822,12287585.5048969,12290524.8107198,12330034.8875236,12365498.6653907,12364899.9503195,12359198.7053048,12375101.1689787,12358144.9114545,12384436.8132049,12381669.931727,12349226.7060637,12359509.3111194,12390881.1046326,12387124.0130214,12395837.3265538,12400957.4540748,12377022.6672386,12371124.2164123,12357865.9922715
