"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"gCap_share",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21399305859475,0.2391803934785,0.273750006808,0.31949252160125,0.37832127026125,0.42973221335175,0.47439489817,0.51649646817875,0.559997799058,0.596594691717,0.62945579570325,0.6595613412595,0.69071408709675,0.74670320175025,0.80954564696175,0.853216197373,0.88937889613975,0.919879943987,0.947970659167,0.973155563694,0.99769411169975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"change_in_unem",NA,0.00197465999775,-0.004935294861,0.00238073837925,-0.00251245071325,0.001161807899,0.00240448912899999,-0.000347910596249987,0.000443930330499998,-0.000614473709249996,0.000799467210000002,-0.00164109861025001,0.00170453356150001,0.000328417068999998,-0.0034041053765,0.00111186491675001,0.00250310568474998,-0.00129932865724999,-0.00166758710375001,0.002099033427,-0.00110561269999999,0.01011766775975,0.01071860375575,0.0034454412225,-0.00427543435399999,-0.00308190950600001,-0.001712321876,0.000603078158750006,-0.00204522657375,-0.00566234280125,0.000597162305750007,0.00132091494799999,-0.000313739092249993,0.00368541446574999,-0.003542935661,0.00331626300650001,-8.56299072500011e-05,-0.00206289013375001,-0.000835624803249987,-0.00146872774350001,0.0016859137375,-0.0087513535785,-0.023413010995,-0.0022715511,0.0108835888915,0.00155907975549999,-0.000159467848999999,0.00478174997475,0.0050492431725,0.000367543634000003,-0.00147096963575,-0.000348190557750004,0.000932062574499994,-0.002074634214,0.000271152468249998,0.000536367257000001,-0.001857249108,0.0035486786835,0.00120612195625,0.00098169189175,-0.00151021537875,-0.00106466915100001,-0.000762955766499991,0.00169349133575,-0.00274078646799999,0.000223456384749993,0.0035990734595,-0.0026331169865,-0.000460681489750002,0.000818720247000006,0.00261415682999999,-0.000817246919499998,-0.0033523054615,0.00109593128625,7.19461774999902e-06,-0.00260107083025,0.00511033528275001,-0.00132308762900001,-0.00331872719475,0.002761385874
"anomaly_real",1.101365151488,1.124207872584,1.147142490626,1.170181826263,1.193308981547,1.216536594888,1.23985872844,1.263274189658,1.286787099549,1.31039706567,1.334102303842,1.35790473974,1.381808240162,1.405804523416,1.429905621791,1.454108610216,1.478410605183,1.502810373552,1.527313526399,1.551921001481,1.576626422089,1.601433015072,1.626283180079,1.651171076133,1.67610120186,1.701064263837,1.726049089774,1.751062875805,1.776112638405,1.801205644675,1.826345340346,1.85153162813,1.87677519364,1.902079341828,1.927431241728,1.952798727329,1.978182616748,2.003613987187,2.029098377295,2.054651338462,2.080273488667,2.105972018836,2.131769432057,2.157694934096,2.183731452435,2.209873180005,2.236129673582,2.262499314191,2.288978799716,2.315570204464,2.342277612817,2.369101808503,2.396043923313,2.423102185899,2.450280544382,2.477579321122,2.504997178157,2.532536582075,2.5601925524,2.587969941757,2.615868238766,2.643889930015,2.672034800332,2.700302367239,2.728691937351,2.757206370097,2.785841530375,2.814599237136,2.843480912718,2.872488509467,2.901622309899,2.930880960025,2.960269833576,2.989787561731,3.019434363066,3.049211070413,3.0791175347,3.109150976297,3.139317368481,3.169617370616
"anomaly_shiftingBL",0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.09817799889969,0.0985824804128099,0.0989864241236098,0.0993914171499499,0.0998018111077499,0.10020863529138,0.10062301603279,0.10104282594165,0.10146312779087,0.10188179358334,0.10230430495606,0.10273172016524,0.10315670808131,0.1035815067322,0.10394887212019,0.10425312213086,0.10451197763041,0.10472881870397,0.10490222724907,0.10504985686203,0.10518963352425,0.1053359866863,0.10549599629178,0.10566779896109,0.1058594295518,0.10607208006902,0.10628812901804,0.10647018463102,0.10661809816485,0.10677011792943,0.10693837277462,0.10713704785506,0.10736410880553,0.10762115909284,0.10792573181929,0.10830027393285,0.10871536148246,0.10914858671743,0.10960095976337,0.110065716658839,0.11053417256222,0.11100457077607,0.11147916657457,0.11195828725367,0.11244299409326,0.1129302946771,0.11342267085469,0.1139200871458,0.11441991182112,0.11492331211719,0.11542468752997,0.11592802938689,0.11643331804352,0.11694240356442,0.117454600504749,0.11796865881796,0.11848325099527,0.11900080580207,0.11951705091154,0.12003287977037,0.12055010988539,0.121070636478019,0.12159448638929,0.12211961863177,0.12265069415369,0.12318606853101,0.12372460176659,0.12426610549541,0.1248096380332,0.12535167123222,0.12589771436429,0.12644867191449
"real_wage_growth",NA,0.0105881720460979,0.0114487253555136,0.009644253692074,0.0113320857485764,0.0102901713010062,0.0103504521507631,0.0109046287675163,0.0107059840936696,0.0108425581366978,0.0107325525271975,0.0106401656221509,0.0103163636495065,0.010761446173269,0.0105529040230341,0.0111701398571298,0.0107188743070252,0.0112127837872755,0.0109753399690073,0.0103534637272189,0.010822868327804,-0.00081929384305468,-0.000510667291388156,0.00756640153184396,0.0110174617882346,0.0102873261316978,0.0101341786589857,0.0102032436953667,0.0110434705302902,0.0108449309443799,0.0101836274148404,0.0109344360007424,0.0108483072830821,0.0104780237016608,0.0115232077853427,0.0101047613054526,0.011188625989214,0.010415687351877,0.0108152791168292,0.0104924600305336,0.011248980897471,0.0165967583897644,0.0211682006356788,0.0127011243312165,0.00974050234569357,0.0113826660482836,0.00969132119486527,0.0102357303214584,0.0107007001609214,0.0109583978702208,0.0104087516752429,0.00983628149352689,0.0100945885589332,0.0106483724652202,0.0102526776209892,0.010057346582562,0.0109409930633113,0.00933672361281856,0.0108561626786563,0.00984561627922931,0.0103078275961082,0.0104796295737288,0.0103665402095674,0.010224038769723,0.0106134256627779,0.00956019875582625,0.0102201024563182,0.0104679417757596,0.0104031280110739,0.0100646852758561,0.0102898801569582,0.0111748014566144,0.0107627356525823,0.010221721936241,0.01052206014556,0.0104081988395375,0.0101480177081203,0.0112719969083139,0.0106243622242204,0.0102004383558962
"rCtax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024768090375,0.00039193839025,0.0003951866175,0.00039491285025,0.00039490659375,0.00039489641725,0.0003953328025,0.0003952533175,0.0003945417245,0.00039520956475,0.000395337584,0.0003951230725,0.00039556414575,0.00039500551175,0.000395701196,0.0003952009905,0.00039470619525,0.0003950821995,0.000395192174,0.00039604153,0.00039710430225,0.00039655645275,0.000395595193,0.0003961871495,0.00039573508875,0.0003950811725,0.00039562154075,0.00039565483975,0.000395047015,0.00039513981125,0.00039498357125,0.00039525070675,0.0003948685945,0.00039516153125,0.0003951711225,0.000394900981,0.000395227422,0.0003953279025,0.00039518680075,0.00039477464725,0.00039508413775,0.00039493409225,0.0003953383705,0.00039500396525,0.00039506204325,0.00039564896925,0.000394842846,0.00039506559025,0.00039504533525,0.0003953586015,0.00039518910425,0.00039476744125,0.000395139659,0.000395320656,0.00039458438325,0.000395835303,0.0003950205535,0.00039473022525,0.000395360451
"totEmiss",31889560.5766919,31794887.3082961,31962818.5378719,31923264.4872539,32042823.4332604,32042721.4989682,32003783.8224848,32037633.5559296,32038553.7336292,32077788.3768489,32017308.2464724,32100495.3120894,32055186.2914586,32024873.9925792,32187487.9113402,32167758.8063584,32121648.3118145,32166152.221049,32245745.0480305,32160376.9628511,32202266.9958258,31514571.668117,30507538.0760858,29540401.5520427,28544721.7811256,27185075.1022036,25981563.5321941,24846426.2406281,23864079.411297,22909636.6197011,21975980.8308743,21130023.1575701,20407341.0518086,19569327.5244438,18286460.6528896,16702497.3314223,15608686.8173835,14719596.5115587,14031220.3656854,13354696.1337847,12739143.0960643,12360271.9393202,12594358.0879718,12655878.3304934,12520536.5685917,12484523.3186587,12502266.7102507,12430612.5249506,12356600.8515669,12349201.3382549,12357470.0979959,12359154.2603201,12350007.088338,12378167.8038502,12400260.0376703,12398097.739521,12430226.2115133,12410129.2098785,12384126.3078231,12378697.6839129,12402747.7090987,12415499.9917079,12428120.1264753,12394603.9506661,12405578.0950422,12382567.072815,12291316.3730628,12290512.6779862,12294951.6277972,12290111.2898989,12251965.9207448,12241531.6417104,12276593.290184,12261934.5555208,12248150.6938461,12278953.8816955,12216927.2286169,12207493.419351,12241341.0593223,12210536.8091837
