"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"gCap_share",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2113494374955,0.222139303971,0.234976216901,0.25094359821825,0.27449949557,0.3034728548745,0.34022714289575,0.379648463336,0.42718481527675,0.47872006714675,0.52983938303575,0.5733978616195,0.617108558881,0.6586210298885,0.6963888198375,0.73165773924675,0.75900062574175,0.791336580971,0.8450059423645,0.90801010490825,0.94759162555525,0.96371768743425,0.97149723699025,0.9741136810965,0.9776149996235,0.98339512163725,0.98840339641075,0.992757329129,0.99486843306725,0.9979463482595,0.999646757823,0.99998778936275,0.9999969663685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"change_in_unem",NA,0.0013966791165,-0.000677511714000004,-0.000915521803499991,0.00180089036374999,0.00103981977675001,-0.00345454016750001,0.00326319103625,-0.0001802510925,-0.00194121285325,-0.000713061098500001,0.00254679028550001,5.58853347499971e-05,-0.0010580573835,-0.00255643355500002,0.00251995183250001,0.00866003931175001,0.01616098178325,0.01305294650175,-0.0005074625295,-0.00437644989675,-0.00504067633175,-0.00485713655075001,0.00389117433325001,-0.00963625753950001,-0.00194005416574999,-0.0016574039475,0.00345408255525,0.00065567805675,-0.002655361094,-0.00225959194175,0.006248855878,-0.00512062905675,-0.00264860406950002,0.00213318488650001,-0.00172034176575001,-0.00216399439749999,-0.00221975280775,-0.00184015251075001,0.002874195696,-0.00529704001775,-4.60729607500016e-05,-0.000712646990250004,-0.0062788617565,-0.00530950950025,-0.00194023061525,-0.0031028367595,0.00136512634199999,0.00295530719125001,-0.000542459817249999,0.00100047959825,0.00428059900975,-0.000627904258749992,-0.000750699078250004,0.00245707676850001,-0.00117641213750001,0.00062905027975,0.000515297757999994,-4.92954782499999e-05,0.00108157528525001,-0.00115273781925,0.000525738257249997,0.001789987529,-0.00154513553025,-0.000111654214749998,0.001694681855,-0.00363688135175001,-0.00126892993225,0.00417608773075,-0.00177958492750001,-0.00128916685324999,0.00127488814649999,-0.00127514211724999,0.00519615586649999,-0.00351992327099999,0.00234962301675,-0.00428295542775,0.0017941714985,0.001204965633,-0.00388307216025
"anomaly_real",1.101436911155,1.124298333991,1.147254491148,1.170309391253,1.19346039098,1.21670615601,1.240044554851,1.263485049823,1.287017684568,1.3106471559,1.334380218865,1.3582105707,1.38213140687,1.406150001702,1.430269250509,1.454489455434,1.478801650273,1.503165695676,1.527572655999,1.552033537973,1.576571369075,1.601178394155,1.625850966012,1.650573696371,1.675333597938,1.700133266661,1.724960036971,1.749809157276,1.77469360653,1.79961389695,1.824583087357,1.849593370404,1.87465142196,1.899787201187,1.924975695683,1.950179749667,1.975406558114,2.000695854775,2.026071559554,2.051545359838,2.077126271972,2.102818926052,2.128615715401,2.154521332648,2.180538966195,2.206671353401,2.23291527114,2.259274997505,2.28574978418,2.312337826737,2.339042618577,2.365863989252,2.392798722995,2.419850818666,2.447021497235,2.474309274394,2.501718103445,2.529246576077,2.556895606278,2.58466526348,2.612554845931,2.640566682076,2.668702766705,2.696960266094,2.725341871909,2.753847085692,2.782475381101,2.811230664276,2.840112404062,2.869120475635,2.898257198928,2.927522188134,2.956914833592,2.986435778063,3.016083392157,3.045863563961,3.075772776647,3.105813809914,3.135984053053,3.166285658216
"anomaly_shiftingBL",0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.0982635657534801,0.098667344931,0.09907894759424,0.09949181595587,0.0998975334659602,0.10030329954776,0.10071340067824,0.10112776425894,0.1015367740694,0.10189916174439,0.102207393274,0.10248323437036,0.10276071263149,0.1030386771726,0.10331390706605,0.10357277623011,0.10380436507816,0.10401563465892,0.10419870239156,0.10435206387944,0.1044951716733,0.10463602714744,0.104790476375,0.10495238595725,0.10512572340657,0.10533923449957,0.10556540103631,0.10575740111457,0.10591988755318,0.10609976751523,0.10632597982871,0.10660602444673,0.10693910253726,0.10731915078469,0.10772857548361,0.10816107651609,0.10861085786228,0.1090732270783,0.10954045524452,0.11001379834399,0.11049138195662,0.11097004119689,0.11145243400083,0.1119378089405,0.1124219528104,0.11290827175994,0.11339830989083,0.113889855360629,0.114386174442719,0.114885539032989,0.11538764278691,0.11589202955548,0.11639730351536,0.11690509375016,0.11741720981832,0.11793017121764,0.118445643711969,0.11896307865368,0.11948124837035,0.12000364063941,0.120529497312429,0.121057600798069,0.12158961049374,0.12212466778092,0.12266113907445,0.12319903506898,0.12373630529966,0.124278379913419,0.12482193385594,0.125368535661619,0.12591535547362,0.12646384393278
"real_wage_growth",NA,0.0104131792570419,0.0107917072339918,0.0102584135010084,0.0103213264274222,0.0110469592566513,0.0111679896345143,0.0101253507901686,0.0106841566361604,0.0107528892164477,0.00968955288026274,0.00987167989852211,0.0103208823773056,0.0102474890706632,0.0100589305165451,0.00961156368422844,0.00376013825324839,0.000307621851785678,0.00298649707793874,0.00944089417743821,0.0106856788388379,0.0107839896602062,0.0108169456408067,0.0101812871837403,0.0121157917710437,0.0100547921195562,0.011086357708666,0.0107815144758137,0.0110170698962089,0.0108662400057511,0.0107270955909953,0.0103289542336107,0.0121846548869495,0.010174492605127,0.0105841425002318,0.0111960850062263,0.0108328682536771,0.0113156630583453,0.0113262854933966,0.0116160449027995,0.0119239678059211,0.0110876371064328,0.0120740105769905,0.0136599545584335,0.0133435510186861,0.0130289363627074,0.0136196263477741,0.0118265122889152,0.010616013395867,0.0107962503154801,0.00990260526130671,0.00995141355741902,0.0112620427117518,0.0107553380552445,0.010444621487586,0.0110581346060923,0.0101841320103953,0.0105407614605992,0.0102917000595886,0.0104859139480464,0.0110337501478448,0.0108059028865402,0.0103193162871558,0.0109507746573061,0.0105152210605421,0.0103063904740834,0.0109416344464521,0.0101706706737243,0.0103377011920887,0.0112568145483474,0.0101547159118833,0.010200537790493,0.010517655176262,0.009904367332777,0.0109876062637482,0.00952628246833798,0.0109536379755972,0.00993838294526173,0.0104863331625085,0.010642141714468
"rCtax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013431436425,0.000287784129,0.00039341760375,0.00039516153075,0.00039488296675,0.000394509684,0.00039467304025,0.00039577040825,0.000394200992,0.00039484955775,0.000395044874,0.00039579851575,0.00039504186525,0.00039483305875,0.00039501362675,0.000395715438,0.00039486489925,0.00039485083275,0.00039543789825,0.00039498192075,0.0003948692555,0.000395225891,0.000395331084,0.00039621001925,0.0003951083905,0.000395359885,0.00039572045,0.000395778162,0.0003959707435,0.0003961923085,0.000395947363,0.0003959508125,0.00039550650825,0.0003951613445,0.00039545271775,0.0003957107985,0.000395133981,0.00039490662225,0.00039544331925,0.00039501142375,0.00039502947925,0.0003952916045,0.00039491056125,0.000395215167,0.000394930133,0.000395216094,0.000395359824,0.00039479790725,0.00039508022125,0.00039523794,0.00039464194275,0.000394853891,0.00039584440775,0.0003950063995,0.00039477599475,0.000395073896,0.00039466612325,0.0003958047425,0.000394648275,0.000395427595,0.00039442400325,0.00039528712525,0.0003953643455,0.00039453234925
"totEmiss",32101659.4254022,32121745.1055633,32179092.8752517,32244957.1516441,32241931.8084237,32212284.5065733,32320632.5772994,32260563.6785482,32269396.7270029,32338481.4076317,32404341.0519692,32314197.7067343,32296645.8098729,32316654.900662,32399297.648967,32326963.0537793,31720033.6262519,30862598.2378955,30087202.783019,29648822.0602507,29197714.5704685,28618362.3502386,27880712.3089851,26803090.5725927,25883116.3203724,24645164.4693622,23411323.5402547,22214555.0599077,21163356.0514629,20161892.6658807,19275209.3511964,18209566.9266403,17653186.867509,16935844.2268818,15599504.8578177,14150503.6594597,13194156.5133365,12780534.3315015,12572496.2430868,12455574.2923397,12482550.7829751,12386509.2893019,12303470.122635,12288242.8720672,12307002.2586279,12283570.2177699,12303610.6943916,12292165.8323903,12269969.7220976,12282274.5123959,12274957.0916627,12225551.1721759,12227831.9658372,12246796.3382211,12210238.6409665,12233895.3816996,12249557.9195609,12245031.925438,12250880.5076912,12240126.5920825,12257138.7453204,12257031.5209711,12249124.0358773,12273326.0648983,12274453.4657203,12239067.2953401,12276076.4207336,12303212.9285922,12271705.4541311,12306358.9647745,12335832.7981702,12332376.6448099,12350926.4088425,12297659.2666311,12341472.8538662,12310134.5171417,12352675.7303911,12318517.7525589,12278959.6960835,12315155.107136
