"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"gCap_share",0.2,0.21152774986375,0.23175796323575,0.25969981529675,0.311493578026,0.3673973655115,0.4180377119895,0.461505485817,0.50641471090125,0.5477699173425,0.58252417827625,0.61671943512925,0.64419892485625,0.68852823727275,0.75531000070225,0.80722931798025,0.84661823922925,0.87942120433625,0.90854574431175,0.93448102169075,0.9630905958085,0.98986426506975,0.997091032405,0.998369726945,0.999308810403,0.99991110155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"change_in_unem",NA,0.0123796983375,0.02043917857525,0.00970169977375,-0.003693794466,-0.00408708192225,-0.00245629572825,-0.000931028990249994,-0.00657134008925001,-0.00448255663024999,-0.00110213973800001,-0.00183938546974999,0.00151718391599999,-0.00129779927024999,0.000646792859750001,-0.001798222148,-0.00133483106600001,0.00208219398775,-0.004506840869,-3.54562725000118e-05,-0.000200493560999992,-0.00632496709225,-0.012487336722,-0.013584189091,-0.005110632502,0.00847872606675,-0.000362917437250004,0.0019858662685,0.003123401286,0.005465618445,0.00306393706725,-0.00100041308975,-0.00146898322324999,0.00147627115899999,-0.000315208163,-0.00324444693499999,-3.35071007500076e-05,0.00136962674225,0.003659636566,0.0015919184935,-0.00383608150799999,0.00448285771724999,-0.00326657134199999,-0.000205863823749999,-0.00283467457175,-0.00050004662375,0.002638739273,0.000439101694000008,-0.000608537027500008,-8.45166379999929e-05,0.000226658043249992,0.00150916813775001,-0.00255381134175001,0.00379819880899999,-0.00324653495949999,-0.000211776661500004,0.000682058737000002,-0.0012537942805,0.0022191728275,0.00109476656575,-0.004401831627,0.00191680162775,0.000611835160249999,0.00109962348749999,0.00133874599400001,-0.00228252239700001,0.00178449896925001,-0.000227736727250002,-0.0052131456845,0.00427512033575,-0.00127188996425,0.000466596260749991,0.00216381308375001,-0.00318797764675,-7.43517860000015e-05,0.000515616156750005,-0.000288808586750004,-0.000145608131500004,9.33599482500075e-05,-7.24612640000052e-05
"anomaly_real",1.101365077265,1.124200260051,1.147070717746,1.169959195063,1.192875181976,1.21581090627,1.238766822485,1.2617472673,1.284759114015,1.307811914829,1.330901418539,1.354037832497,1.377225314755,1.400462115791,1.423719813766,1.446978688478,1.470269635041,1.493600800934,1.516981052564,1.540424284039,1.563927531554,1.587491821057,1.61113657734,1.634886929067,1.658750762015,1.682716868161,1.70678199776,1.730952800779,1.755224002863,1.779599200812,1.804076412765,1.828658367035,1.853348332927,1.878145707575,1.903049656991,1.928062550774,1.9531870353,1.978420526801,2.003763038857,2.029213357848,2.054776345588,2.08045135478,2.106237903782,2.132136396773,2.158148993376,2.184277638855,2.210519789844,2.236873603142,2.263342091444,2.289924989443,2.316624863809,2.343440238218,2.370373000907,2.397424817079,2.424592289081,2.451881207897,2.479286812931,2.506810926236,2.534454937323,2.562215608212,2.590097152898,2.618101581386,2.646226868618,2.67447429506,2.70284435692,2.731338629643,2.75995872991,2.78870127399,2.817569608399,2.846566440068,2.875685189606,2.904932224244,2.934306262731,2.963807454594,2.993439593568,3.023202194137,3.053094705496,3.08311846472,3.11327405566,3.143559893382
"anomaly_shiftingBL",0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.09665978835216,0.0967824076533299,0.09691664151751,0.0970693609231099,0.09724209576447,0.0974289613230102,0.0975967496975101,0.09772224184458,0.0978402794438902,0.09796763194777,0.0981139595978899,0.0982916408326997,0.0984945861128401,0.0987179742317297,0.09897656656465,0.0992897517023901,0.0996557389172001,0.10005108097925,0.10046078639908,0.10088483473151,0.1013140308383,0.10174731938997,0.10218042871089,0.10261465463373,0.10305386162389,0.10349757609134,0.10394367647642,0.10439351086957,0.10484931104557,0.10530742225583,0.10576651541321,0.10622476419467,0.10668671225495,0.10715190803656,0.10761889949721,0.10808737561031,0.1085591518971,0.10903589367742,0.10951422614836,0.10999113194966,0.11046921550524,0.11094854880134,0.11143128922745,0.11191565576074,0.11240272037462,0.11289391275671,0.11338528412698,0.1138816250999,0.114378069966359,0.11487518825971,0.11537442186671,0.11587229252429,0.116372439372221,0.11687726485148,0.11738413731311,0.117893268616789,0.11840492447569,0.11891998097771,0.11943949195006,0.11995927181539,0.1204815055597,0.12100893854481,0.12153435470783,0.12206288349573,0.12259377094842,0.123126221499879,0.12366362907094,0.12420517276507,0.12474900503141,0.12529569915611,0.12584535956007,0.12639547218862
"real_wage_growth",NA,0.00134777772100669,-0.00174718765100623,0.00394964415037879,0.00925969980279517,0.0102139457920543,0.0102530519218476,0.010966147717304,0.0113589631218163,0.0106259013752625,0.0109030411961317,0.0116239741111455,0.0103010847664331,0.0115891979193246,0.0102771912112094,0.0112696912150227,0.0103728393927895,0.01033122523451,0.0112185325008918,0.0103487859983828,0.0111614074744077,0.0149282704889229,0.0172847097541542,0.0177630058586524,0.0129671396274853,0.0112187747861761,0.0125363812590811,0.01068447372394,0.010799285185618,0.0101949221122866,0.0105181314018035,0.010352774957918,0.0105592199104292,0.010237452384287,0.0104582569622085,0.0102526114281765,0.00980540522880835,0.00992818905295501,0.0094920284051272,0.0106557490714547,0.0103056766170271,0.00950719595897387,0.0107727701698541,0.00997591407605447,0.0104938110899249,0.00932160430929985,0.010370217716072,0.01077769321261,0.00985617057878074,0.010697749177851,0.0096610344296133,0.0104672622135562,0.0103146579917792,0.00904494600769845,0.0110007565079382,0.00922807544423598,0.0105992327786475,0.0100889784878593,0.00987547799598376,0.0108459269884722,0.0108347867487231,0.00997936687778922,0.0108759092319817,0.0103787222075198,0.0103123172684361,0.0110020026682209,0.00948135351221091,0.0110166415990343,0.0106087475887797,0.00934726322876478,0.011202281336208,0.00992250205277312,0.0100889502271142,0.0104945834507735,0.00985475251400136,0.00991777933200799,0.0101653980874261,0.00991286260529955,0.00977968671410556,0.0101667074106129
"rCtax",1.930923525e-05,0.000172254006,0.0003260328925,0.000394171174,0.0003946934135,0.00039492997,0.000394823374,0.00039523999425,0.000394676605,0.0003949181805,0.000395139265,0.000395290856,0.0003951181525,0.0003952907765,0.00039525242025,0.00039533543725,0.00039524069675,0.00039550520725,0.00039489010975,0.000395367815,0.000395494537,0.00039652337375,0.0003970976845,0.00039660014925,0.0003954608595,0.00039668182175,0.0003956704875,0.0003955016825,0.0003954276735,0.00039582605025,0.00039530111975,0.00039503605775,0.0003950525875,0.0003953726865,0.00039501080375,0.0003945087615,0.00039516889325,0.00039542706075,0.00039524018025,0.00039542554125,0.0003947030205,0.00039555489775,0.000394807738,0.000395146529,0.0003949605225,0.000394614433,0.0003953315715,0.000395368729,0.00039490431475,0.0003953163705,0.00039487630275,0.00039524121175,0.0003948917375,0.000395278628,0.00039498190575,0.00039495137,0.0003952799735,0.00039494416875,0.0003952705935,0.000395299575,0.000394620454,0.000395158583,0.00039533227425,0.00039516536725,0.00039526656425,0.00039516496875,0.00039505820425,0.0003953061245,0.0003945136195,0.0003954814135,0.0003951146775,0.00039499375625,0.00039534678475,0.00039467576075,0.0003951073895,0.0003951463635,0.0003950147565,0.00039501540025,0.00039527594525,0.00039506571125
"totEmiss",31825158.1343811,31138701.9178323,29958567.7200694,28930127.1829255,27813764.7350845,26597451.3218955,25451572.2562837,24458226.7962044,23505198.9839235,22602472.2369215,21772285.6477567,20992606.4027337,20260511.4402861,19235444.2281782,17671150.0976523,16416017.313258,15490420.4834771,14636402.3340982,14047621.8036487,13369526.7006403,12749300.2088228,12272400.3818724,12262296.7651909,12396436.5412661,12463977.1866267,12362391.7545507,12360983.7127945,12333361.0587098,12285592.9190672,12225369.6561985,12192657.7453475,12194181.8888633,12196947.9104332,12179526.2219903,12175089.530638,12228618.8732079,12220037.5536518,12208685.4839664,12193550.2265992,12166409.5971513,12220051.1189099,12169053.0888861,12193827.9544501,12196769.4282737,12230632.1078574,12242433.835818,12217137.7141082,12187012.1727366,12191894.1084969,12185404.5147591,12191369.7340613,12185852.4994779,12224055.2265546,12186186.7090842,12207319.7148667,12204413.3519079,12179146.9119324,12179728.1971169,12141946.9559816,12100104.8436427,12144477.3876587,12125531.0284705,12109013.2529796,12108309.0376343,12099873.1901493,12103876.1379938,12079138.3648626,12067538.1931375,12115038.4270517,12045334.8943999,12046591.3142155,12047907.0650925,12021748.5084968,12052892.4174125,12060877.001024,12063480.5192772,12066164.9583373,12062798.8372942,12053900.4367137,12053249.3278644
